n°,id,symbole,nom
1,11101,BWMX,Betterware De Mexico Sapi De
2,11102,METCB,Ramaco Resources Inc-B
3,11103,SLN,Silence Therapeutics Plc
4,11104,SAMG,Silvercrest Asset Manageme-A
5,11105,NGVC,Natural Grocers By Vitamin C
6,11106,TRC,Tejon Ranch Co
7,11107,NATR,Natures Sunshine Prods Inc
8,11108,USAP,Universal Stainless & Alloy
9,11109,PRAX,Praxis Precision Medicines I
10,11110,RBB,Rbb Bancorp
11,11111,BCIC,BCP Investment Corp
12,11112,SKIL,Skillsoft Corp
13,11113,GHM,Graham Corp
14,11114,EDN,Empresa Distribuidora Y Comercializadora Norte
15,11115,TRML,Tourmaline Bio Inc
16,11116,SYRE,Spyre Therapeutics Inc
17,11117,FSTR,Foster (Lb) Co-A
18,11118,HBT,Hbt Financial Inc/De
19,11119,GYRE,Gyre Therapeutics Inc
20,11120,MVBF,Mvb Financial Corp
21,11121,11121,11121
22,11122,BCML,Baycom Corp
23,11123,MCBS,Metrocity Bankshares Inc
24,11124,CSPI,Csp Inc
25,11125,CVEO,Civeo Corp
26,11126,SMBK,Smartfinancial Inc
27,11127,MOFG,Midwestone Financial Group I
28,11128,FINX,Global X Fintech Etf
29,11129,HTB,Hometrust Bancshares Inc
30,11130,VLGEA,Village Super Market-Class A
31,11131,SSBK,Southern States Bancshares
32,11132,EVI,Evi Industries Inc
33,11133,SMMF,Summit Financial Group Inc
34,11134,ZJYL,Jin Medical International Lt
35,11135,ESEA,Euroseas Ltd
36,11136,OVLY,Oak Valley Bancorp
37,11137,WEYS,Weyco Group Inc
38,11138,ALCO,Alico Inc
39,11139,GNTY,Guaranty Bancshares Inc
40,11140,RCKY,Rocky Brands Inc
41,11141,MPTI,M-Tron Industries Inc
42,11142,ATLC,Atlanticus Holdings Corp
43,11143,IDRV,Ishares Self-Driving Ev&Tech
44,11144,11144,11144
45,11145,GSWO,Goldman Sachs ActiveBeta World Equity ETF
46,11146,LCTD,iShares World X U.S. Carbon
47,11147,XSLV,Invesco S&P Smallcap Low Vol
48,11148,PFIS,Peoples Financial Services
49,11149,PTF,Invesco Dorsey Wright Tech
50,11150,NANR,State Street SPDR S&P North Am
51,11151,KRRO,Korro Bio Inc
52,11152,CLMB,Climb Global Solutions Inc
53,11153,CATH,Global X S&P 500 Ca Val Etf
54,11154,FRPH,Frp Holdings Inc
55,11155,MAQ.ASX,Macquarie Technology Group L
56,11156,OZ,Belpointe Prep Llc
57,11157,IXG,Ishares Global Financials Et
58,11158,KOKU,Xtrackers Msci Kokusai Eqty
59,11159,IX,Orix Corp
60,11160,AIVL,Wisdomtree Us Ai Enhanced Va
61,11161,IAI.US,Ishares U.S. Broker-Dealers
62,11162,ITIC,Investors Title Co
63,11163,BH,Biglari Holdings Inc-B
64,11164,11164,11164
65,11165,11165,11165
66,11166,11166,11166
67,11167,11167,11167
68,11168,11168,11168
69,11169,11169,11169
70,11170,LIFE.L,Rize Environmental Impact 100 UCITS ETF
71,11171,TIBD.L,Turkiye Is Bankasi-Reg S Gdr
72,11172,CYPC.L,China Yangtze Powe-Reg S
73,11173,CYBR.L,Rize Cybersecurity Data Privacy UCITS ETF
74,11174,HE1.L,Helium One Global Ltd
75,11175,LSE CVR,LOCKED FOR LSE CVR
76,11176,HHPD.L,Hon Hai Precision-Gdr Reg S
77,11177,NFRA.L,Rize Global Sustainable Infrastructure UCITS ETF
78,11178,SMSD.L,Samsung Electro-Regs Gdr Pfd
79,11179,FOOD.L,Rize Sustainable Future of Food UCITS ETF
80,11180,LUSA.L,Rize USA Environmental Impact UCITS ETF
81,11181,CFHS.L,Cathay Financial - Reg S Gdr
82,11182,ARKK.L,ARK Innovation UCITS ETF
83,11183,CPIC.L,China Pacific Insurance-Gdr
84,11184,HTSC.L,Huatai Securities - Gdr
85,11185,ARKI.L,ARK Artificial Intelligence & Robotics UCITS ETF
86,11186,SDIC.L,Sdic Power Holdings Co Ltd
87,11187,ARB.L,Argo Blockchain Plc
88,11188,CNSD.L,China Steel Corp-Spons Gdr
89,11189,PINE.L,Pinewood Technologies Group Plc
90,11190,OTPD.L,Otp Bank Nyrt-Reg S Gdr
91,11191,TRST.L,Trustpilot Group Plc
92,11192,KAP.L,Nac Kazatomprom Jsc-Gdr Regs
93,11193,SAUD.L,Steel Authority India-Gdr S
94,11194,BKM.L,Bank Muscat Saog-Gdr Reg S
95,11195,ACID.L,Acer Inc-Sponsored Gdr Reg S
96,11196,HSBK.L,Halyk Savings Bank-Gdr Reg S
97,11197,CBKD.L,Commercial Intl Bank-Gdr Reg
98,11198,BOWL.L,Hollywood Bowl Group Plc
99,11199,LSE CVR1,LOCKED FOR LSE CVR1
100,11200,TPCL.L,Tata Power Co Ltd-Gdr Reg S
